Task Set,Task ID,Accepting visits
Reach infinite training,RIT_1,0.0
Reach infinite training,RIT_2,69.79310344827586
Reach infinite training,RIT_3,95.72413793103448
Reach infinite training,RIT_4,93.65517241379311
Reach infinite training,RIT_5,0.0
Reach infinite training,RIT_6,0.0
Reach infinite training,RIT_7,89.34482758620689
Reach infinite training,RIT_8,0.0
Reach infinite training,RIT_9,0.0
Reach infinite training,RIT_10,93.62068965517241
Reach avoid always eventually,RAE_1,41.206896551724135
Reach avoid always eventually,RAE_2,47.41379310344828
Reach avoid always eventually,RAE_3,33.51724137931034
Reach avoid always eventually,RAE_4,22.17241379310345
Reach stay infinite,RSI_1,0.0
Reach stay infinite,RSI_2,0.0
Reach stay infinite,RSI_3,93.37931034482759
Reach stay infinite,RSI_4,86.48275862068965
Reach stay infinite,RSI_5,93.37931034482759
