Task Set,Task ID,Accepting visits
Reach infinite training,RIT_1,92.6896551724138
Reach infinite training,RIT_2,0.0
Reach infinite training,RIT_3,0.0
Reach infinite training,RIT_4,0.0
Reach infinite training,RIT_5,0.0
Reach infinite training,RIT_6,90.96551724137932
Reach infinite training,RIT_7,0.0
Reach infinite training,RIT_8,0.0
Reach infinite training,RIT_9,67.62068965517241
Reach infinite training,RIT_10,0.0
Reach avoid always eventually,RAE_1,31.448275862068964
Reach avoid always eventually,RAE_2,33.0
Reach avoid always eventually,RAE_3,44.86206896551724
Reach avoid always eventually,RAE_4,47.06896551724138
Reach stay infinite,RSI_1,72.86206896551724
Reach stay infinite,RSI_2,0.0
Reach stay infinite,RSI_3,0.0
Reach stay infinite,RSI_4,0.0
Reach stay infinite,RSI_5,0.0
